Relatório Atividades;;;;;;;
;;;;;;;
Gerado em: 03/07/2026 10:15:49;;;;;;;
;;;;;;;
Detalhamento: Atividade;;;;;;;
;;;;;;;
UF filtrada: Ignorado (detalhamento por Atividade);;;;;;;
;;;;;;;
Caderno filtrado: Ignorado;;;;;;;
;;;;;;;
Atividades: Todas as atividades;;;;;;;
;;;;;;;
Atividade;Total de perfis;Básicos;Completos;Campanhas;Capa;Tel. a atualizar;E-mails a atualizar
ABATE DE AVES;937;937;0;0;0;9;293
ABATE DE PEQUENOS ANIMAIS;31;31;0;0;0;0;5
ACABAMENTO DE CALÇADOS DE COURO;6665;6665;0;0;0;43;1148
ACUPUNTURA;529;529;0;0;0;6;24
ADMINISTRAÇÃO DA INFRA-ESTRUTURA PORTUÁRIA;15;15;0;0;0;0;3
ADMINISTRAÇÃO DE CARTÕES DE CRÉDITO;146;146;0;0;0;2;8
ADMINISTRAÇÃO DE FUNDOS POR CONTRATO OU COMISSÃO;503;503;0;0;0;0;29
ADMINISTRAÇÃO DE OBRAS;5380;5380;0;0;0;47;222
ADMINISTRAÇÃO PÚBLICA EM GERAL;1;1;0;0;0;0;1
ADMINISTRAÇÃO REGIONAL / PREFEITURA;7;1;0;0;6;2;0
AGENCIAMENTO DE CARGAS;1098;1098;0;0;0;5;74
AGENCIAMENTO DE ESPAÇOS PARA PUBLICIDADE;2848;2848;0;0;0;24;326
AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTÍSTICAS;2769;2769;0;0;0;33;208
AGENCIAMENTO MARÍTIMO;512;512;0;0;0;2;37
AGENTE DE PROPRIEDADE INDUSTRIAL;607;607;0;0;0;5;23
AGENTES DE INVESTIMENTOS EM APLICAÇÕES FINANCEIRAS;12;12;0;0;0;0;1
AGRICULTURA;4024;4024;0;0;0;20;456
AGÊNCIAS DE NOTÍCIAS;2586;2586;0;0;0;41;273
AGÊNCIAS DE PUBLICIDADE;13954;13953;1;0;0;109;722
AGÊNCIAS DE VIAGENS;69011;69009;2;0;0;654;4588
AGÊNCIAS MATRIMONIAIS;1680;1680;0;0;0;19;202
ALBERGUES ASSISTENCIAIS;25;25;0;0;0;0;7
ALBERGUES, EXCETO ASSISTENCIAIS;1595;1595;0;0;0;11;133
ALFAIATES;1;1;0;0;0;1;0
ALOJAMENTO DE ANIMAIS DOMÉSTICOS;8431;8431;0;0;0;92;553
