"Relatório Cadernos"
"Gerado em";"29/06/2026 09:49:38"
"UF filtrada";Todos

UF;Caderno;"Total de perfis";"Perfis básicos";"Perfis completos";"Perfis em campanhas";"Perfis capa";"Telefones a atualizar";"E-mails a atualizar"
AC;ACRELANDIA;483;483;0;0;0;1;0
AC;"ASSIS BRASIL";243;239;4;0;0;3;0
AC;BRASILEIA;1015;1015;0;0;0;0;0
AC;BUJARI;225;221;4;0;0;3;0
AC;CAPIXABA;220;216;4;0;0;2;0
AC;"CRUZEIRO DO SUL";3010;3006;4;0;0;32;0
AC;EPITACIOLANDIA;701;697;4;0;0;5;0
AC;FEIJO;576;572;4;0;0;3;0
AC;JORDAO;129;125;4;0;0;2;0
AC;"MANCIO LIMA";243;239;4;0;0;5;0
AC;"MANOEL URBANO";198;194;4;0;0;2;0
AC;"MARECHAL THAUMATURGO";237;233;4;0;0;2;0
AC;"PLACIDO DE CASTRO";414;410;4;0;0;3;0
AC;"PORTO ACRE";354;350;4;0;0;3;1
AC;"PORTO WALTER";132;128;4;0;0;2;0
AC;"RIO BRANCO";20462;20458;4;0;0;88;2468
AC;"RODRIGUES ALVES";231;227;4;0;0;2;90
AC;"SANTA ROSA DO PURUS";89;85;4;0;0;2;32
AC;"SENA MADUREIRA";1276;1272;4;0;0;3;494
AC;"SENADOR GUIOMARD";988;984;4;0;0;5;235
AC;TARAUACA;1031;1027;4;0;0;3;309
AC;XAPURI;489;485;4;0;0;3;143
AL;"AGUA BRANCA";315;310;4;0;1;4;58
AL;ANADIA;393;389;4;0;0;5;67
AL;ARAPIRACA;15316;15312;4;0;0;90;2111
AL;ATALAIA;1474;1470;4;0;0;7;358
AL;"BARRA DE SANTO ANTONIO";750;746;4;0;0;6;151
AL;"BARRA DE SAO MIGUEL";685;681;4;0;0;8;85
AL;BATALHA;492;488;4;0;0;6;96
AL;BELEM;138;134;4;0;0;4;30
AL;"BELO MONTE";122;118;4;0;0;5;20
AL;"BOCA DA MATA";990;986;4;0;0;15;224
AL;BRANQUINHA;253;249;4;0;0;6;93
AL;CACIMBINHAS;309;305;4;0;0;4;45
AL;CAJUEIRO;734;730;4;0;0;8;195
AL;CAMPESTRE;209;205;4;0;0;4;36
AL;"CAMPO ALEGRE";1721;1717;4;0;0;8;381
AL;"CAMPO GRANDE";181;177;4;0;0;5;41
AL;CANAPI;233;229;4;0;0;5;52
AL;CAPELA;631;627;4;0;0;6;187
AL;CARNEIROS;181;177;4;0;0;3;41
AL;"CHA PRETA";162;158;4;0;0;4;26
AL;"COITE DO NOIA";215;211;4;0;0;3;30
AL;"COLONIA LEOPOLDINA";607;603;4;0;0;5;132
AL;"COQUEIRO SECO";244;240;4;0;0;3;35
AL;CORURIPE;2802;2798;4;0;0;36;655
AL;CRAIBAS;623;619;4;0;0;6;112
AL;"DELMIRO GOUVEIA";2583;2579;4;0;0;19;544
AL;"DOIS RIACHOS";258;254;4;0;0;6;39
AL;"ESTRELA DE ALAGOAS";286;282;4;0;0;6;83
AL;"FEIRA GRANDE";388;384;4;0;0;8;75
AL;"FELIZ DESERTO";185;181;4;0;0;6;41
AL;FLEXEIRAS;318;314;4;0;0;5;57
AL;"GIRAU DO PONCIANO";836;832;4;0;0;4;147
AL;IBATEGUARA;426;422;4;0;0;4;165
AL;IGACI;456;452;4;0;0;5;98
AL;"IGREJA NOVA";382;378;4;0;0;6;115
AL;INHAPI;263;259;4;0;0;4;50
AL;"JACARE DOS HOMENS";103;99;4;0;0;4;16
AL;JACUIPE;123;119;4;0;0;4;30
AL;JAPARATINGA;520;516;4;0;0;5;51
AL;JARAMATAIA;95;91;4;0;0;4;25
AL;"JEQUIA DA PRAIA";517;513;4;0;0;5;179
AL;"JOAQUIM GOMES";524;520;4;0;0;6;77
AL;JUNDIA;138;135;3;0;0;4;29
AL;JUNDIAI;1;0;1;0;0;1;0
AL;JUNQUEIRO;976;972;4;0;0;7;199
AL;"LAGOA DA CANOA";430;426;4;0;0;4;105
AL;"LIMOEIRO DE ANADIA";639;635;4;0;0;3;95
AL;MACEIO;81878;81874;4;0;0;553;8653
AL;"MAJOR ISIDORO";464;460;4;0;0;7;125
AL;"MAR VERMELHO";120;116;4;0;0;3;41
AL;MARAGOGI;2337;2333;4;0;0;12;317
AL;MARAVILHA;217;213;4;0;0;8;43
AL;"MARECHAL DEODORO";4277;4273;4;0;0;30;714
AL;MARIBONDO;593;589;4;0;0;11;130
AL;"MATA GRANDE";302;298;4;0;0;6;62
AL;"MATRIZ DE CAMARAGIBE";903;899;4;0;0;25;251
AL;MESSIAS;665;661;4;0;0;4;154
AL;"MINADOR DO NEGRAO";136;132;4;0;0;4;22
AL;MONTEIROPOLIS;157;153;4;0;0;3;31
AL;MURICI;1030;1026;4;0;0;6;281
AL;"NOVO LINO";285;281;4;0;0;4;81
AL;"OLHO D'AGUA DAS FLORES";1029;1025;4;0;0;4;232
AL;"OLHO D'AGUA DO CASADO";219;215;4;0;0;3;27
AL;"OLHO D'AGUA GRANDE";47;43;4;0;0;3;12
AL;OLIVENCA;198;194;4;0;0;4;39
AL;"OURO BRANCO";382;378;4;0;0;5;86
AL;PALESTINA;113;109;4;0;0;3;22
AL;"PALMEIRA DOS INDIOS";3332;3328;4;0;0;23;753
AL;"PAO DE ACUCAR";721;717;4;0;0;7;123
AL;PARICONHA;192;188;4;0;0;3;52
AL;PARIPUEIRA;894;890;4;0;0;8;141
AL;"PASSO DE CAMARAGIBE";578;574;4;0;0;13;119
AL;"PAULO JACINTO";229;225;4;0;0;3;48
AL;PENEDO;4296;4292;4;0;0;17;929
AL;PIACABUCU;525;521;4;0;0;5;139
AL;PILAR;2151;2147;4;0;0;14;332
AL;PINDOBA;63;59;4;0;0;3;9
AL;PIRANHAS;970;966;4;0;0;5;235
AL;"POCO DAS TRINCHEIRAS";174;170;4;0;0;3;36
AL;"PORTO CALVO";1133;1129;4;0;0;11;211
AL;"PORTO DE PEDRAS";533;529;4;0;0;7;113
AL;"PORTO REAL DO COLEGIO";381;377;4;0;0;3;54
AL;QUEBRANGULO;365;361;4;0;0;7;75
AL;"RIO LARGO";5257;5253;4;0;0;25;788
AL;ROTEIRO;238;234;4;0;0;9;38
AL;"SANTA LUZIA DO NORTE";319;315;4;0;0;8;47
AL;"SANTANA DO IPANEMA";1824;1820;4;0;0;23;412
AL;"SANTANA DO MUNDAU";290;286;4;0;0;4;110
AL;"SAO BRAS";115;111;4;0;0;3;18
AL;"SAO JOSE DA LAJE";1143;1139;4;0;0;22;196
AL;"SAO JOSE DA TAPERA";794;790;4;0;0;5;175
AL;"SAO LUIS DO QUITUNDE";972;968;4;0;0;14;209
AL;"SAO MIGUEL DOS CAMPOS";3203;3199;4;0;0;23;530
AL;"SAO MIGUEL DOS MILAGRES";785;781;4;0;0;9;136
AL;"SAO SEBASTIAO";957;953;4;0;0;4;200
AL;SATUBA;1584;1580;4;0;0;9;191
AL;"SENADOR RUI PALMEIRA";191;187;4;0;0;3;48
AL;"TANQUE D'ARCA";127;123;4;0;0;4;23
AL;TAQUARANA;612;608;4;0;0;5;130
AL;"TEOTONIO VILELA";1566;1562;4;0;0;35;284
AL;TRAIPU;405;401;4;0;0;4;60
AL;"UNIAO DOS PALMARES";3577;3573;4;0;0;21;732
AL;VICOSA;1015;1011;4;0;0;5;230
AM;ALVARAES;315;311;4;0;0;4;68
AM;AMATURA;241;237;4;0;0;3;104
AM;ANAMA;109;105;4;0;0;3;36
AM;ANORI;240;236;4;0;0;3;73
AM;APUI;770;766;4;0;0;6;202
AM;"ATALAIA DO NORTE";205;201;4;0;0;3;43
AM;AUTAZES;868;864;4;0;0;7;206
AM;BARCELOS;623;619;4;0;0;7;246
AM;BARREIRINHA;632;628;4;0;0;6;175
AM;"BENJAMIN CONSTANT";891;887;4;0;0;5;116
AM;BERURI;328;324;4;0;0;3;123
AM;"BOA VISTA DO RAMOS";396;392;4;0;0;3;74
AM;"BOCA DO ACRE";1322;1318;4;0;0;5;534
AM;BORBA;712;708;4;0;0;5;278
AM;CAAPIRANGA;193;189;4;0;0;3;59
AM;CANUTAMA;205;201;4;0;0;4;60
AM;CARAUARI;628;624;4;0;0;5;199
AM;CAREIRO;886;882;4;0;0;8;279
AM;"CAREIRO DA VARZEA";444;440;4;0;0;4;185
AM;COARI;1852;1848;4;0;0;5;690
AM;CODAJAS;481;477;4;0;0;9;68
AM;EIRUNEPE;682;678;4;0;0;4;282
AM;ENVIRA;364;360;4;0;0;3;98
AM;"FONTE BOA";375;371;4;0;0;10;76
AM;GUAJARA;184;180;4;0;0;3;57
AM;HUMAITA;3041;3037;4;0;0;12;828
AM;IPIXUNA;162;158;4;0;0;3;60
AM;IRANDUBA;2099;2095;4;0;0;7;446
AM;ITACOATIARA;3338;3334;4;0;0;32;748
AM;ITAMARATI;193;189;4;0;0;4;48
AM;ITAPIRANGA;375;371;4;0;0;4;77
AM;JAPURA;132;128;4;0;0;4;31
AM;JURUA;235;231;4;0;0;3;98
AM;JUTAI;360;356;4;0;0;7;79
AM;LABREA;762;758;4;0;0;5;255
AM;MANACAPURU;3241;3237;4;0;0;10;753
AM;MANAQUIRI;749;745;4;0;0;4;232
AM;MANAUS;156366;156361;5;0;0;668;13148
AM;MANICORE;4733;4729;4;0;0;25;1502
AM;MARAA;5;1;4;0;0;3;0
AM;MAUES;5;1;4;0;0;3;0
AM;NHAMUNDA;5;1;4;0;0;3;0
AM;"NOVA OLINDA DO NORTE";187;183;4;0;0;4;59
AM;"NOVO AIRAO";895;891;4;0;0;4;287
AM;"NOVO ARIPUANA";469;465;4;0;0;3;187
AM;PARINTINS;4025;4021;4;0;0;18;1188
AM;PAUINI;397;393;4;0;0;3;114
AM;"PRESIDENTE FIGUEIREDO";2046;2042;4;0;0;5;440
AM;"RIO PRETO DA EVA";1316;1312;4;0;0;8;298
AM;"SANTA ISABEL DO RIO NEGRO";278;274;4;0;0;5;102
AM;"SANTO ANTONIO DO ICA";411;407;4;0;0;4;140
AM;"SAO GABRIEL DA CACHOEIRA";1010;1006;4;0;0;3;343
AM;"SAO PAULO DE OLIVENCA";412;408;4;0;0;4;124
AM;"SAO SEBASTIAO DO UATUMA";273;269;4;0;0;4;62
AM;SILVES;211;207;4;0;0;3;33
AM;TABATINGA;1829;1825;4;0;0;6;541
AM;TAPAUA;224;220;4;0;0;3;50
AM;TEFE;2304;2300;4;0;0;8;664
AM;TONANTINS;274;270;4;0;0;5;56
AM;UARINI;202;198;4;0;0;4;55
AM;URUCARA;529;525;4;0;0;3;187
AM;URUCURITUBA;325;321;4;0;0;4;91
AP;AMAPA;232;228;4;0;0;3;65
AP;CALCOENE;349;345;4;0;0;3;75
AP;CUTIAS;84;80;4;0;0;3;12
AP;"FERREIRA GOMES";255;251;4;0;0;4;66
AP;ITAUBAL;76;72;4;0;0;4;10
AP;"LARANJAL DO JARI";1442;1438;4;0;0;6;422
AP;MACAPA;28369;28365;4;0;0;136;5002
AP;MAZAGAO;461;457;4;0;0;6;71
