"Relatório ID"
"Gerado em";"29/06/2026 13:47:51"
Ordenação;"ID ASC"

ID;Nome;Descrição;"Valor do desconto";"Total de perfis";Básico;Campanha;Completo;Capa;"E-mails a atualizar";"Telefones a atualizar"
00.000.0000;;"valor padrao";0;7;7;0;0;0;1;1
00.000.0001;MINISITIO;"MINISITIO id específico para PERFIL BÁSICO GRÁTIS";10;442822;442822;0;0;0;1;3292
11.002.0078;"NFN SOLUÇÕES & TECNOLOGIA";"CAPA COM PATROCINADOR - ITAMBÉ SP";10;8;0;0;0;8;0;5
11.975.0012;"NFN SOLUÇÕES & TECNOLOGIA";"PROMO MASTER DIR NILTON NFN sp";10;663;1;0;662;0;0;5
11.986.0018;"GLOBALTECH - JUAREZ";"PROMO MASTER GLOBALTECH Juarez sp";10;11;8;0;3;0;0;10
21.915.0020;;"MEI CAMP PROMO BRASIL 001";10;474450;474450;0;0;0;69286;2408
21.915.0021;;"MEI CAMP PROMO BRASIL 002";10;486670;486670;0;0;0;56500;2995
21.915.0022;;"MEI CAMP PROMO BRASIL 003";10;461838;461838;0;0;0;44987;2700
21.915.0023;;"MEI CAMP PROMO BRASIL 004";10;349838;349838;0;0;0;58215;2206
21.915.0024;;"MEI CAMP PROMO BRASIL 005";10;490766;490766;0;0;0;72452;3324
21.915.0025;;"MEI CAMP PROMO BRASIL 006";10;588298;588298;0;0;0;95085;2691
21.915.0026;;"MEI CAMP PROMO BRASIL 007";10;48249;48249;0;0;0;48249;0
21.915.0027;;"MEI CAMP PROMO BRASIL 008";10;483211;483211;0;0;0;53767;2515
21.915.0028;;"MEI CAMP PROMO BRASIL 009";10;483289;483289;0;0;0;59902;2273
21.915.0029;;"MEI CAMP PROMO BRASIL 010";10;493538;493538;0;0;0;58187;2419
21.915.0032;;"MEI CAMP PROMO BRASIL 013";10;489604;489604;0;0;0;85011;2612
21.915.0033;;"MEI CAMP PROMO BRASIL 014";10;487230;487230;0;0;0;61417;2650
21.915.0034;;"MEI CAMP PROMO BRASIL 015";10;487531;487531;0;0;0;79833;2155
21.915.0036;;"MEI CAMP PROMO BRASIL 017";10;488594;488594;0;0;0;58543;9451
21.915.0037;;"MEI CAMP PROMO BRASIL 018";10;489260;489260;0;0;0;57273;9588
21.915.0038;;"MEI CAMP PROMO BRASIL 019";10;490056;490056;0;0;0;68051;3853
21.915.0039;;"MEI CAMP PROMO BRASIL 020";10;480460;480460;0;0;0;86082;2817
21.915.0040;;"MEI CAMP PROMO BRASIL 021";10;477794;477794;0;0;0;81312;3048
21.915.0041;;"MEI CAMP PROMO BRASIL 022";10;486309;486309;0;0;0;68781;3024
21.915.0042;;"MEI CAMP PROMO BRASIL 023";10;488538;488538;0;0;0;63904;3189
21.915.0043;;"MEI CAMP PROMO BRASIL 024";10;489087;489087;0;0;0;52032;4482
21.915.0044;;"MEI CAMP PROMO BRASIL 025";10;58112;58112;0;0;0;4425;736
21.915.0046;;"MEI CAMP PROMO BRASIL 027";10;488220;488220;0;0;0;42679;6264
21.915.0047;;"MEI CAMP PROMO BRASIL 028";10;488544;488544;0;0;0;34579;7625
21.915.0048;;"MEI CAMP PROMO BRASIL 029";10;490343;490343;0;0;0;28563;10848
21.915.0049;;"MEI CAMP PROMO BRASIL 030";10;490279;490279;0;0;0;28682;10750
21.915.0058;;"PME CAMP PROMO BRASIL 01";10;1;1;0;0;0;0;1
21.915.0067;;"PME CAMP PROMO BRASIL 10";10;1;0;0;0;1;0;1
27.919.0010;"DANIEL J MENDES";"PROMO MASTER DIR DANIEL sp";10;6;6;0;0;0;0;6
31.001.0069;"QUALY EMPRENDIMENTOS";"CAPA - MG PREFEITURA GOV VALADARES - PILOTO";10;9;0;0;0;9;0;0
31.001.0694;"QUALY EMPRENDIMENTOS";"CAPAS - BA  PAULO AFONSO";10;1;0;0;0;1;0;0
31.001.0699;"QUALY EMPRENDIMENTOS";"CAPA - ES  COLATINA";10;8;0;0;0;8;3;0
31.983.0017;"QUALY EMPRENDIMENTOS";"PROMO MASTER DIR QUAL PAULA sp";10;866;3;0;863;0;0;866
31.983.0052;"QUALY EMPRENDIMENTOS";"MEI PROMO DIR PAULA ";10;684752;684752;0;0;0;68458;4023
61.003.0070;"MYCARDCITY - MASTER";"PROMO VALORIZAÇÃO PLATAFORMA - quimas";10;2;0;0;2;0;0;2
61.003.0071;"MYCARDCITY - MASTER";"PROMO PEDRINA 2025";10;1;1;0;0;0;0;1
61.004.0073;"UNIVERSO DA SEGURANÇA - JUAN";"TK MARIA C PROMO UNIVERSO";10;1;1;0;0;0;0;1
61.005.0090;"MYCARDCITY - MASTER";"TESTES PARA E-MAIL MARK - ORIGEM - CAMPANHA 20 PERFIS OCTOG DF";10;16;16;0;0;0;0;16
61.005.0091;"MYCARDCITY - MASTER";"PROMO TESTES 20 E-MAIL MK OCTOGO - DESTINO";5;2;2;0;0;0;0;2
61.005.0320;"MYCARDCITY - MASTER";"CAPA - DF AGUAS CLARAS";10;3;0;0;0;3;1;0
61.007.0687;"PILOTUS NEGÓCIOS DIGITAIS";"PROMO BONUS PERFIL PARA PATROCINADORES";10;1;1;0;0;0;0;1
61.007.0688;"MYCARDCITY - MASTER";"PROMO DUPLICAÇÃO UNIVERSO SEG ";10;5625;0;0;5625;0;0;5625
61.007.0689;"MYCARDCITY - MASTER";"ORIGEM - CAMP TESTE E-MAIL MK 10 UNID - MARÇO26";10;11;11;0;0;0;0;11
61.007.0691;"MYCARDCITY - MASTER";"ORIGEM - CAMP 4º TESTE COM DISPAROS ZIIZ (7 UNIDADES)";10;5;5;0;0;0;0;5
61.007.0692;"MYCARDCITY - MASTER";"DESTINO - 4º CAMP TESTE DISPAROS ZIIZ E-MAIL MK (7 UNID)";5;1;1;0;0;0;0;1
61.009.0707;"MYCARDCITY - MASTER";"PROMO VALORIZAÇÃO PERFIS 2026";10;2;0;0;2;0;0;0
61.011.0708;HENRIQUE;"PROMO A.H. 50% EMK PERFIL COMPLETO";5;5;5;0;0;0;0;0
61.011.0733;MCC;"PERFIL BÁSICO GRÁTIS - RETORNO";10;4;4;0;0;0;0;0
61.011.0735;MCC;"PERFIL BÁSICO GRÁTIS - RETORNO";10;4;4;0;0;0;0;0
61.011.0789;"MYCARDCITY - MASTER";"PROMO DUPLICAÇÃO TESTE COM EMPRESA CHINESA  DUPLICAÇÃO 100%";10;5625;0;0;5625;0;0;0
61.011.0790;"EDUARDO -IT4B";"PROMO CUPOM/BOLETO PARA PERFIL COMPLETO 2026 (IT4B)";10;2;0;0;2;0;0;0
61.013.0795;"MYCARDCITY - MASTER";"INSS - OUVIDORIA - SERV PUBLICO BRASIL";10;5625;0;0;5625;0;0;0
61.020.0057;"MYCARDCITY - MASTER";"PROMO MASTER DIR QUIMAS";10;490376;490376;0;0;0;39802;6622
61.920.0007;"MYCARDCITY - MASTER";"PRO VALOR 3LT MARCAS E PAT - PERMUTA   cp";10;5256;0;0;5256;0;0;5256
61.920.0015;"MYCARDCITY - MASTER";"PROMO MASTER DIR QUIMAS sp";10;5;2;0;3;0;0;4
61.920.0055;"MYCARDCITY - MASTER";"MEI PROMO DIR QUIMAS";10;631665;631664;0;1;0;63491;14064
61.920.0057;"MYCARDCITY - MASTER";"MEI PROMO DIR RESERVA";10;1572034;1572034;0;0;0;145638;16787
63.987.0019;"PLANEJE SOLUÇÕES - VALDIVINO";"PROMO MASTER PLANEJE VALD sp";10;1;1;0;0;0;0;1
98.001.0092;"GLOBALTECH - JUAREZ";"PROMO GLOBALTECH ";10;1;0;0;1;0;0;1
99.999.9999;;;;3055365;3055362;0;3;0;0;39206

Totais;;;;18630901;18607198;0;23673;30;1835192;202439
